"Track_ID","Standard_ID","Standard_Time"
"18","4","22.20"
"18","5","22.37"
"18","6","22.55"
"18","7","22.72"
"18","8","22.90"
"18","9","23.05"
"18","10","23.20"
"18","11","23.35"
"18","12","23.50"
"18","13","23.87"
"18","14","24.25"
"18","15","24.62"
"18","16","25.00"
"18","17","25.37"
"18","18","25.75"
"18","19","26.12"
"18","20","26.50"
"18","21","27.25"
"18","22","28.00"
"18","23","28.75"
"18","24","29.50"
"18","25","30.87"
"18","26","32.25"
"18","27","33.62"
"18","28","35.00"
"18","29","37.75"
"18","30","40.50"
"18","31","43.25"
"18","32","46.00"
"18","33","999.99"
"19","-4","70.40"
"19","-3","70.60"
"19","-2","70.80"
"19","-1","71.00"
"19","0","71.20"
"19","1","71.52"
"19","2","71.85"
"19","3","72.17"
"19","4","72.50"
"19","5","73.00"
"19","6","73.50"
"19","7","74.00"
"19","8","74.50"
"19","9","75.12"
"19","10","75.75"
"19","11","76.37"
"19","12","77.00"
"19","13","78.00"
"19","14","79.00"
"19","15","80.00"
"19","16","81.00"
"19","17","83.00"
"19","18","85.00"
"19","19","87.00"
"19","20","89.00"
"19","21","90.50"
"19","22","92.00"
"19","23","93.50"
"19","24","95.00"
"19","25","96.75"
"19","26","98.50"
"19","27","100.25"
"19","28","102.00"
"19","29","106.50"
"19","30","111.00"
"19","31","115.50"
"19","32","120.00"
"19","33","999.99"
"20","-4","21.80"
"20","-3","21.90"
"20","-2","22.00"
"20","-1","22.10"
"20","0","22.20"
"20","1","22.35"
"20","2","22.50"
"20","3","22.65"
"20","4","22.80"
"20","5","22.97"
"20","6","23.15"
"20","7","23.32"
"20","8","23.50"
"20","9","23.75"
"20","10","24.00"
"20","11","24.25"
"20","12","24.50"
"20","13","24.87"
"20","14","25.25"
"20","15","25.62"
"20","16","26.00"
"20","17","26.62"
"20","18","27.25"
"20","19","27.87"
"20","20","28.50"
"20","21","29.00"
"20","22","29.50"
"20","23","30.00"
"20","24","30.50"
"20","25","31.12"
"20","26","31.75"
"20","27","32.37"
"20","28","33.00"
"20","29","34.50"
"20","30","36.00"
"20","31","37.50"
"20","32","39.00"
"20","33","999.99"
"21","-4","114.00"
"21","-3","114.30"
"21","-2","114.60"
"21","-1","114.90"
"21","0","115.20"
"21","1","115.60"
"21","2","116.00"
